Authors                                      	   Record Count	         % of 547
Di Matte T                                   	              1	     0.183
Di Matteo T                                  	              1	     0.183
Divya PB                                     	              1	     0.183
Diwekar U                                    	              1	     0.183
Djellabi M                                   	              1	     0.183
Dolen S                                      	              1	     0.183
Dolev S                                      	              1	     0.183
Donohue M                                    	              1	     0.183
Doody RS                                     	              1	     0.183
Doostmohammadian M                           	              1	     0.183
Doraiswamy PM                                	              1	     0.183
Drake E                                      	              1	     0.183
Drossel B                                    	              1	     0.183
Drost D                                      	              1	     0.183
Drozdz S                                     	              1	     0.183
Du Plessis JF                                	              1	     0.183
Du PX                                        	              1	     0.183
Du WB                                        	              1	     0.183
Duan X                                       	              1	     0.183
Duara R                                      	              1	     0.183
Duarte D                                     	              1	     0.183
Dukkipati A                                  	              1	     0.183
Durak N                                      	              1	     0.183
Durastante F                                 	              1	     0.183
Durrett R                                    	              1	     0.183
Duvivier L                                   	              2	     0.366
Dzaferagic M                                 	              1	     0.183
Dugué N                                      	              1	     0.183
Dáttilo W                                    	              1	     0.183
Díaz-guilera A                               	              1	     0.183
Eager ZD                                     	              1	     0.183
Edgerton J                                   	              1	     0.183
Edler D                                      	              2	     0.366
Eikmeier N                                   	              1	     0.183
El Khouli R                                  	              1	     0.183
El Marraki M                                 	              1	     0.183
Elhesha R                                    	              1	     0.183
Eliassi-rad T                                	              3	     0.548
Ellis S                                      	              1	     0.183
Elovici Y                                    	              1	     0.183
Emary C                                      	              1	     0.183
Erdos PL                                     	              1	     0.183
Erkol S                                      	              1	     0.183
Estrada E                                    	              5	     0.914
Eubank S                                     	              1	     0.183
Eum S                                        	              1	     0.183
Evans S                                      	              1	     0.183
Evans TS                                     	              1	     0.183
Esquivel-gómezis J                           	              1	     0.183
Faber K                                      	              1	     0.183
Faber KM                                     	              1	     0.183
Faccin M                                     	              1	     0.183
Faccio C                                     	              2	     0.366
Fairbanks JP                                 	              1	     0.183
Fang T                                       	              1	     0.183
Fargher K                                    	              1	     0.183
Farlow MR                                    	              1	     0.183
Farzaneh A                                   	              1	     0.183
Fatemi M                                     	              1	     0.183
Fatica P                                     	              1	     0.183
Fay D                                        	              1	     0.183
Feldman H                                    	              1	     0.183
Feng B                                       	              1	     0.183
Feng J                                       	              1	     0.183
Feng M                                       	              1	     0.183
Fennell P                                    	              1	     0.183
Fernandez D                                  	              1	     0.183
Fernandez I                                  	              1	     0.183
Ferrand M                                    	              1	     0.183
Ferrara G                                    	              1	     0.183
Ferraro G                                    	              1	     0.183
Ferro A                                      	              1	     0.183
Fichera A                                    	              1	     0.183
Fierens PI                                   	              1	     0.183
Figols J                                     	              1	     0.183
Figueiredo D                                 	              1	     0.183
Figueiredo DR                                	              2	     0.366
Figueiredo R                                 	              1	     0.183
Figurski M                                   	              1	     0.183
Filipe JAN                                   	              1	     0.183
Fillit H                                     	              1	     0.183
Filosi M                                     	              1	     0.183
Finger E                                     	              1	     0.183
Finke J                                      	              2	     0.366
Finley S                                     	              1	     0.183
Fiore D                                      	              1	     0.183
Fish B                                       	              1	     0.183
Flanagan R                                   	              1	     0.183
Flandrin P                                   	              1	     0.183
Flashman LA                                  	              1	     0.183
Fleischman D                                 	              1	     0.183
Fleisher A                                   	              1	     0.183
