Affiliations                                 	   Record Count	         % of 301
UNIVERSITY OF CALIFORNIA BERKELEY            	              1	     0.332
UNIVERSITY OF CALIFORNIA DAVIS               	              2	     0.664
UNIVERSITY OF CALIFORNIA IRVINE              	              5	     1.661
UNIVERSITY OF CALIFORNIA LOS ANGELES         	              7	     2.326
UNIVERSITY OF CALIFORNIA MERCED              	              1	     0.332
UNIVERSITY OF CALIFORNIA SAN DIEGO           	              3	     0.997
UNIVERSITY OF CALIFORNIA SANTA BARBARA       	              3	     0.997
UNIVERSITY OF CALIFORNIA SYSTEM              	             18	     5.980
UNIVERSITY OF CAMBRIDGE                      	              1	     0.332
UNIVERSITY OF CHICAGO                        	              2	     0.664
UNIVERSITY OF CHINESE ACADEMY OF SCIENCES CAS	              1	     0.332
UNIVERSITY OF COLOGNE                        	              1	     0.332
UNIVERSITY OF COLORADO ANSCHUTZ MEDICAL CAMPU	              2	     0.664
S                                            	               	          
UNIVERSITY OF COLORADO BOULDER               	              1	     0.332
UNIVERSITY OF COLORADO DENVER                	              4	     1.329
UNIVERSITY OF COLORADO SYSTEM                	              6	     1.993
UNIVERSITY OF CONNECTICUT                    	              1	     0.332
UNIVERSITY OF COPENHAGEN                     	              1	     0.332
UNIVERSITY OF DENVER                         	              1	     0.332
UNIVERSITY OF EASTERN PIEDMONT AMEDEO AVOGADR	              1	     0.332
O                                            	               	          
UNIVERSITY OF EDINBURGH                      	              2	     0.664
UNIVERSITY OF ESSEX                          	              3	     0.997
UNIVERSITY OF EXETER                         	              4	     1.329
UNIVERSITY OF FLORIDA                        	              2	     0.664
UNIVERSITY OF GEORGIA                        	              1	     0.332
UNIVERSITY OF GREENWICH                      	              6	     1.993
UNIVERSITY OF GRONINGEN                      	             10	     3.322
UNIVERSITY OF HAMBURG                        	              1	     0.332
UNIVERSITY OF HILDESHEIM                     	              1	     0.332
UNIVERSITY OF HONG KONG                      	              1	     0.332
UNIVERSITY OF HOUSTON                        	              1	     0.332
UNIVERSITY OF HOUSTON SYSTEM                 	              1	     0.332
UNIVERSITY OF ILLINOIS SYSTEM                	              1	     0.332
UNIVERSITY OF ILLINOIS URBANA CHAMPAIGN      	              1	     0.332
UNIVERSITY OF INDIANAPOLIS                   	              1	     0.332
UNIVERSITY OF IOWA                           	              3	     0.997
UNIVERSITY OF KENTUCKY                       	              1	     0.332
UNIVERSITY OF KONSTANZ                       	              4	     1.329
UNIVERSITY OF L AQUILA                       	              1	     0.332
UNIVERSITY OF LEEDS                          	              1	     0.332
UNIVERSITY OF LIMERICK                       	              1	     0.332
UNIVERSITY OF LJUBLJANA                      	              3	     0.997
UNIVERSITY OF LONDON                         	              5	     1.661
UNIVERSITY OF MACERATA                       	              2	     0.664
UNIVERSITY OF MANCHESTER                     	              1	     0.332
UNIVERSITY OF MARIBOR                        	              1	     0.332
UNIVERSITY OF MARYLAND COLLEGE PARK          	              3	     0.997
UNIVERSITY OF MASSACHUSETTS AMHERST          	              3	     0.997
UNIVERSITY OF MASSACHUSETTS SYSTEM           	              3	     0.997
UNIVERSITY OF MELBOURNE                      	              1	     0.332
UNIVERSITY OF MICHIGAN                       	              1	     0.332
UNIVERSITY OF MICHIGAN SYSTEM                	              1	     0.332
UNIVERSITY OF MILAN                          	              4	     1.329
UNIVERSITY OF MILANO BICOCCA                 	              1	     0.332
UNIVERSITY OF MISSOURI COLUMBIA              	              1	     0.332
UNIVERSITY OF MISSOURI SYSTEM                	              1	     0.332
UNIVERSITY OF MUNICH                         	              3	     0.997
UNIVERSITY OF NAPLES FEDERICO II             	              2	     0.664
UNIVERSITY OF NORTH CAROLINA                 	              6	     1.993
UNIVERSITY OF NORTH CAROLINA CHAPEL HILL     	              6	     1.993
UNIVERSITY OF NORTH CAROLINA SCHOOL OF MEDICI	              1	     0.332
NE                                           	               	          
UNIVERSITY OF NOTRE DAME                     	              4	     1.329
UNIVERSITY OF OXFORD                         	             12	     3.987
UNIVERSITY OF PALERMO                        	              1	     0.332
UNIVERSITY OF PATRAS                         	              1	     0.332
UNIVERSITY OF PENNSYLVANIA                   	              1	     0.332
UNIVERSITY OF PITTSBURGH                     	              1	     0.332
UNIVERSITY OF POTSDAM                        	              1	     0.332
UNIVERSITY OF PRIMORSKA                      	              1	     0.332
UNIVERSITY OF ROCHESTER                      	              1	     0.332
UNIVERSITY OF SALERNO                        	              3	     0.997
UNIVERSITY OF SAN FRANCISCO                  	              1	     0.332
UNIVERSITY OF SEVILLA                        	              1	     0.332
UNIVERSITY OF SOUTH CAROLINA COLUMBIA        	              3	     0.997
UNIVERSITY OF SOUTH CAROLINA SYSTEM          	              3	     0.997
UNIVERSITY OF SOUTH FLORIDA                  	              1	     0.332
UNIVERSITY OF SOUTHERN CALIFORNIA            	              8	     2.658
UNIVERSITY OF STRATHCLYDE                    	              1	     0.332
UNIVERSITY OF SURREY                         	              1	     0.332
UNIVERSITY OF SYDNEY                         	              1	     0.332
UNIVERSITY OF TEXAS ARLINGTON                	              1	     0.332
UNIVERSITY OF TEXAS AUSTIN                   	              1	     0.332
UNIVERSITY OF TEXAS DALLAS                   	              2	     0.664
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER HOU	              1	     0.332
STON                                         	               	          
UNIVERSITY OF TEXAS SCHOOL PUBLIC HEALTH     	              1	     0.332
UNIVERSITY OF TEXAS SYSTEM                   	              4	     1.329
UNIVERSITY OF TOKYO                          	              3	     0.997
