Affiliations                                 	   Record Count	       % of 1,557
RICE UNIVERSITY                              	              3	     0.193
RUPRECHT KARLS UNIVERSITY HEIDELBERG         	              3	     0.193
SAINT PETERSBURG STATE UNIVERSITY            	              3	     0.193
SAPIENZA UNIVERSITY ROME                     	              3	     0.193
SEOUL NATIONAL UNIVERSITY SNU                	              3	     0.193
TEMPLE UNIVERSITY                            	              3	     0.193
TEXAS A M UNIVERSITY SYSTEM                  	              3	     0.193
THE SANTA FE INSTITUTE                       	              3	     0.193
TULANE UNIVERSITY                            	              3	     0.193
UNITED STATES DEPARTMENT OF ENERGY DOE       	              3	     0.193
UNITED STATES NAVY                           	              3	     0.193
UNIVERSITAT KASSEL                           	              3	     0.193
UNIVERSITE CATHOLIQUE LOUVAIN                	              3	     0.193
UNIVERSITE DE CAEN NORMANDIE                 	              3	     0.193
UNIVERSITY OF ADELAIDE                       	              3	     0.193
UNIVERSITY OF ALBERTA                        	              3	     0.193
UNIVERSITY OF COLORADO DENVER                	              3	     0.193
UNIVERSITY OF EDINBURGH                      	              3	     0.193
UNIVERSITY OF FREIBURG                       	              3	     0.193
UNIVERSITY OF HELSINKI                       	              3	     0.193
UNIVERSITY OF NAPLES FEDERICO II             	              3	     0.193
UNIVERSITY OF NEW SOUTH WALES SYDNEY         	              3	     0.193
UNIVERSITY OF NOTRE DAME                     	              3	     0.193
UNIVERSITY OF TEXAS DALLAS                   	              3	     0.193
UNIVERSITY OF TEXAS SCHOOL PUBLIC HEALTH     	              3	     0.193
UNIVERSITY OF TURIN                          	              3	     0.193
UNIVERSITY OF UTAH                           	              3	     0.193
UNIVERSITY OF WARSAW                         	              3	     0.193
UNIVERSITY OF ZARAGOZA                       	              3	     0.193
VIRGINIA POLYTECHNIC INSTITUTE STATE UNIVERSI	              3	     0.193
TY                                           	               	          
WASHINGTON UNIVERSITY WUSTL                  	              3	     0.193
WEST VIRGINIA UNIVERSITY                     	              3	     0.193
AALTO UNIVERSITY                             	              2	     0.128
ALZAHRA UNIVERSITY                           	              2	     0.128
ANN ROBERT H LURIE CHILDREN S HOSPITAL OF CHI	              2	     0.128
CAGO                                         	               	          
ARC CENTRE OF EXCELLENCE FOR CORAL REEF STUDI	              2	     0.128
ES                                           	               	          
AUSTRIAN INSTITUTE OF TECHNOLOGY AIT         	              2	     0.128
BATTELLE MEMORIAL INSTITUTE                  	              2	     0.128
BLOOMFIELD COLLEGE                           	              2	     0.128
BROWN UNIVERSITY                             	              2	     0.128
CALIFORNIA STATE UNIVERSITY LONG BEACH       	              2	     0.128
CARDIFF UNIVERSITY                           	              2	     0.128
CARLETON UNIVERSITY                          	              2	     0.128
CENTERS FOR DISEASE CONTROL PREVENTION USA   	              2	     0.128
CHINESE UNIVERSITY OF HONG KONG              	              2	     0.128
CITY UNIVERSITY OF HONG KONG                 	              2	     0.128
CITY UNIVERSITY OF NEW YORK CUNY SYSTEM      	              2	     0.128
CSIC INSTITUTO DE CIENCIA DE MATERIALES DE MA	              2	     0.128
DRID ICMM                                    	               	          
CSIC INSTITUTO DE CIENCIAS MATEMATICAS ICMAT 	              2	     0.128
CTR INT CIENCIAS AC                          	              2	     0.128
DEAKIN UNIVERSITY                            	              2	     0.128
DEFENCE SCIENCE TECHNOLOGY                   	              2	     0.128
DELFT UNIVERSITY OF TECHNOLOGY               	              2	     0.128
DEXIS CONSULTING GRP                         	              2	     0.128
DORTMUND UNIVERSITY OF TECHNOLOGY            	              2	     0.128
EBERHARD KARLS UNIVERSITY OF TUBINGEN        	              2	     0.128
ECOLE HAUTES ETUD SCI SOCIALES               	              2	     0.128
ECOLE NORMALE SUPERIEURE ENS                 	              2	     0.128
ECOLE POLYTECHNIQUE                          	              2	     0.128
FUDAN UNIVERSITY                             	              2	     0.128
FUNDACAO OSWALDO CRUZ                        	              2	     0.128
GEORGE WASHINGTON UNIVERSITY                 	              2	     0.128
GOOGLE INCORPORATED                          	              2	     0.128
HARVARD MEDICAL SCHOOL                       	              2	     0.128
HELMHOLTZ ASSOCIATION                        	              2	     0.128
HUNAN UNIVERSITY                             	              2	     0.128
ICREA                                        	              2	     0.128
IHSAN DOGRAMACI BILKENT UNIVERSITY           	              2	     0.128
IMT SCHOOL FOR ADVANCED STUDIES LUCCA        	              2	     0.128
INDIAN INSTITUTE OF MANAGEMENT IIM SYSTEM    	              2	     0.128
INRAE                                        	              2	     0.128
INST FUTURES STUDIES                         	              2	     0.128
INST MATH PHYS MECH                          	              2	     0.128
INSTITUT NATIONAL DE LA SANTE ET DE LA RECHER	              2	     0.128
CHE MEDICALE INSERM                          	               	          
INSTITUTO SUPERIOR PSICOLOGIA APLICADA ISPA  	              2	     0.128
INTERUNIV CTR SOCIAL SCI THEORY METHODOL ICS 	              2	     0.128
IZA INSTITUTE LABOR ECONOMICS                	              2	     0.128
JAPAN WOMENS UNIVERSITY                      	              2	     0.128
JHERONIMUS ACAD DATA SCI                     	              2	     0.128
KARLSRUHE INSTITUTE OF TECHNOLOGY            	              2	     0.128
KING S COLLEGE LONDON                        	              2	     0.128
KOC UNIVERSITY                               	              2	     0.128
KOREA ADVANCED INSTITUTE OF SCIENCE TECHNOLOG	              2	     0.128
Y KAIST                                      	               	          
KOREA UNIVERSITY                             	              2	     0.128
KYUNG HEE UNIVERSITY                         	              2	     0.128
LAVAL UNIVERSITY                             	              2	     0.128
MIDDLE TENNESSEE STATE UNIVERSITY            	              2	     0.128
MOREHOUSE SCHOOL OF MEDICINE                 	              2	     0.128
N COUNTRY INST NAT PHILOSOPHY INC            	              2	     0.128
NATIONAL AERONAUTICS SPACE ADMINISTRATION NAS	              2	     0.128
A                                            	               	          
NATIONAL DEVELOPMENT RESEARCH INSTITUTES INC 	              2	     0.128
NATIONAL SUN YAT SEN UNIVERSITY              	              2	     0.128
NATIONAL TAIWAN NORMAL UNIVERSITY            	              2	     0.128
NATIONAL TAIWAN UNIVERSITY                   	              2	     0.128
NATURAL ENVIRONMENT RESEARCH COUNCIL NERC    	              2	     0.128
OREGON RESEARCH INSTITUTE                    	              2	     0.128
PAZMANY PETER CATHOLIC UNIVERSITY            	              2	     0.128
PEKING UNIVERSITY                            	              2	     0.128
POLISH ACADEMY OF SCIENCES                   	              2	     0.128
POMPEU FABRA UNIVERSITY                      	              2	     0.128
PRINCETON UNIVERSITY                         	              2	     0.128
RIKEN                                        	              2	     0.128
RWTH AACHEN UNIVERSITY                       	              2	     0.128
SAINT JOHN S UNIVERSITY                      	              2	     0.128
SORBONNE UNIVERSITE                          	              2	     0.128
SOUTHERN ILLINOIS UNIVERSITY                 	              2	     0.128
SOUTHERN ILLINOIS UNIVERSITY SYSTEM          	              2	     0.128
SWPS UNIVERSITY OF SOCIAL SCIENCES HUMANITIES	              2	     0.128
SYRACUSE UNIVERSITY                          	              2	     0.128
TECHNICAL UNIVERSITY OF BERLIN               	              2	     0.128
TEL AVIV UNIVERSITY                          	              2	     0.128
TEXAS A M UNIVERSITY COLLEGE STATION         	              2	     0.128
TRANSCRIME                                   	              2	     0.128
UCL INSTITUTE OF EDUCATION                   	              2	     0.128
UK RESEARCH INNOVATION UKRI                  	              2	     0.128
UNITED STATES ARMY                           	              2	     0.128
UNIV MANNHEIM MZES                           	              2	     0.128
UNIV MARYLAND                                	              2	     0.128
UNIVERSIDAD DE ALCALA                        	              2	     0.128
UNIVERSIDAD DE CORDOBA                       	              2	     0.128
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO      	              2	     0.128
UNIVERSIDADE DA CORUNA                       	              2	     0.128
UNIVERSIDADE DE LISBOA                       	              2	     0.128
UNIVERSIDADE DE SAO PAULO                    	              2	     0.128
UNIVERSIDADE FEDERAL DE MINAS GERAIS         	              2	     0.128
UNIVERSITA CA FOSCARI VENEZIA                	              2	     0.128
UNIVERSITAT POLITECNICA DE CATALUNYA         	              2	     0.128
UNIVERSITE CLAUDE BERNARD LYON 1             	              2	     0.128
UNIVERSITETET I STAVANGER                    	              2	     0.128
UNIVERSITY OF ALABAMA SYSTEM                 	              2	     0.128
UNIVERSITY OF BARCELONA                      	              2	     0.128
UNIVERSITY OF BRISTOL                        	              2	     0.128
UNIVERSITY OF CHESTER                        	              2	     0.128
UNIVERSITY OF COLORADO ANSCHUTZ MEDICAL CAMPU	              2	     0.128
S                                            	               	          
UNIVERSITY OF COLORADO BOULDER               	              2	     0.128
UNIVERSITY OF EASTERN FINLAND                	              2	     0.128
UNIVERSITY OF ERLANGEN NUREMBERG             	              2	     0.128
UNIVERSITY OF GEORGIA                        	              2	     0.128
UNIVERSITY OF GOTHENBURG                     	              2	     0.128
UNIVERSITY OF KANSAS                         	              2	     0.128
UNIVERSITY OF MARIBOR                        	              2	     0.128
UNIVERSITY OF MARYLAND BALTIMORE             	              2	     0.128
UNIVERSITY OF MILANO BICOCCA                 	              2	     0.128
UNIVERSITY OF MISSOURI SYSTEM                	              2	     0.128
UNIVERSITY OF MUNSTER                        	              2	     0.128
UNIVERSITY OF NORTH CAROLINA SCHOOL OF MEDICI	              2	     0.128
NE                                           	               	          
UNIVERSITY OF NOTTINGHAM                     	              2	     0.128
UNIVERSITY OF PASSAU                         	              2	     0.128
UNIVERSITY OF PERUGIA                        	              2	     0.128
UNIVERSITY OF PUERTO RICO                    	              2	     0.128
UNIVERSITY OF PUERTO RICO MEDICAL SCIENCES CA	              2	     0.128
MPUS                                         	               	          
UNIVERSITY OF QUEBEC                         	              2	     0.128
UNIVERSITY OF QUEBEC MONTREAL                	              2	     0.128
UNIVERSITY OF STRATHCLYDE                    	              2	     0.128
UNIVERSITY OF SURREY                         	              2	     0.128
UNIVERSITY OF TURKU                          	              2	     0.128
UNIVERSITY OF VERMONT                        	              2	     0.128
UNIVERSITY OF WESTMINSTER                    	              2	     0.128
US ARMY                                      	              2	     0.128
VIENNA UNIVERSITY OF ECONOMICS BUSINESS      	              2	     0.128
WAKE FOREST UNIVERSITY                       	              2	     0.128
WASEDA UNIVERSITY                            	              2	     0.128
WESTERN UNIVERSITY UNIVERSITY OF WESTERN ONTA	              2	     0.128
RIO                                          	               	          
YALE INST NETWORK SCI                        	              2	     0.128
YONSEI UNIVERSITY                            	              2	     0.128
A O U CITTA DELLA SALUTE E DELLA SCIENZA DI T	              1	     0.064
ORINO                                        	               	          
A STAR INSTITUTE OF HIGH PERFORMANCE COMPUTIN	              1	     0.064
G IHPC                                       	               	          
AARHUS UNIVERSITY                            	              1	     0.064
ABDELMALEK ESSAADI UNIVERSITY OF TETOUAN     	              1	     0.064
ACTIZ                                        	              1	     0.064
AFFILIATED SYST                              	              1	     0.064
AGENCY FOR SCIENCE TECHNOLOGY RESEARCH A STAR	              1	     0.064
AGENZIA ENTRATE UFFICIO ECON STAT            	              1	     0.064
AGRO TOULOUSE ECOLE NATL SUPER AGRON TOULOUSE	              1	     0.064
AGROPARISTECH                                	              1	     0.064
AJOU UNIVERSITY                              	              1	     0.064
ALAN TURING INST                             	              1	     0.064
ALBERT EINSTEIN COLLEGE OF MEDICINE          	              1	     0.064
ALLICAN GREAT LAKES                          	              1	     0.064
AMER BAR FDN                                 	              1	     0.064
AMIRKABIR UNIVERSITY OF TECHNOLOGY           	              1	     0.064
AOU SAN GIOVANNI BATTISTA MOLINETTE          	              1	     0.064
ARCHAEOL RES INC                             	              1	     0.064
ARMY INST RES                                	              1	     0.064
ASSISTANCE PUBLIQUE HOPITAUX DE MARSEILLE    	              1	     0.064
AUSTRALIAN TRANSACT REPORTS ANAL CTR         	              1	     0.064
AVIVO VAUD                                   	              1	     0.064
