Authors                                      	   Record Count	       % of 1,557
Helm J                                       	              2	     0.128
Hennig M                                     	              2	     0.128
Henriksen LF                                 	              2	     0.128
Higgins CA                                   	              2	     0.128
Hoff PD                                      	              2	     0.128
Hollstein B                                  	              2	     0.128
Hollway J                                    	              2	     0.128
Holme P                                      	              2	     0.128
Hornik K                                     	              2	     0.128
Hsieh MH                                     	              2	     0.128
Huisman M                                    	              2	     0.128
Huitsing G                                   	              2	     0.128
Hunter DR                                    	              2	     0.128
Häussler T                                   	              2	     0.128
Im DK                                        	              2	     0.128
Ishiguro I                                   	              2	     0.128
Jacobs D                                     	              2	     0.128
Jansson I                                    	              2	     0.128
Jaramillo-rodriguez E                        	              2	     0.128
Jaspers E                                    	              2	     0.128
Jones WL                                     	              2	     0.128
Jose R                                       	              2	     0.128
Kalish Y                                     	              2	     0.128
Kalmijn M                                    	              2	     0.128
Kang SM                                      	              2	     0.128
Kardos P                                     	              2	     0.128
Karkavandi MA                                	              2	     0.128
Kaski K                                      	              2	     0.128
Killworth P                                  	              2	     0.128
Kim JY                                       	              2	     0.128
Kisfalusi D                                  	              2	     0.128
Klovdahl A                                   	              2	     0.128
Knoke D                                      	              2	     0.128
Koehly L                                     	              2	     0.128
Koehly LM                                    	              2	     0.128
Kolleck N                                    	              2	     0.128
Koltai J                                     	              2	     0.128
Koskinen JH                                  	              2	     0.128
Kretschmer D                                 	              2	     0.128
Kretzschmar M                                	              2	     0.128
Kuhns LM                                     	              2	     0.128
Lai GN                                       	              2	     0.128
Lakon CM                                     	              2	     0.128
Leal DF                                      	              2	     0.128
Lebeaux MO                                   	              2	     0.128
Lee J                                        	              2	     0.128
Lee K                                        	              2	     0.128
Legendre S                                   	              2	     0.128
Leik RK                                      	              2	     0.128
Levi I                                       	              2	     0.128
Lewis K                                      	              2	     0.128
Liberman S                                   	              2	     0.128
Liebow E                                     	              2	     0.128
Light JM                                     	              2	     0.128
Lindner I                                    	              2	     0.128
Lovely R                                     	              2	     0.128
Lu X                                         	              2	     0.128
Maas I                                       	              2	     0.128
Macy M                                       	              2	     0.128
Magee CL                                     	              2	     0.128
Mahutga MC                                   	              2	     0.128
Maier D                                      	              2	     0.128
Mair P                                       	              2	     0.128
Malm A                                       	              2	     0.128
Marcum CS                                    	              2	     0.128
Marin A                                      	              2	     0.128
Mascia D                                     	              2	     0.128
Matzat U                                     	              2	     0.128
Mcclean RJ                                   	              2	     0.128
Mcknight M                                   	              2	     0.128
Mclevey J                                    	              2	     0.128
Melamed D                                    	              2	     0.128
Melville J                                   	              2	     0.128
Menon T                                      	              2	     0.128
Mepham K                                     	              2	     0.128
Miller ML                                    	              2	     0.128
Mongeau P                                    	              2	     0.128
Moore L                                      	              2	     0.128
Mora-cantallops M                            	              2	     0.128
Moreno Y                                     	              2	     0.128
Morgan JH                                    	              2	     0.128
Moro E                                       	              2	     0.128
Mounier L                                    	              2	     0.128
Mueller C                                    	              2	     0.128
Muhindo S                                    	              2	     0.128
Munar W                                      	              2	     0.128
Munniksma A                                  	              2	     0.128
Muth SQ                                      	              2	     0.128
Muzuri P                                     	              2	     0.128
N'simire S                                   	              2	     0.128
Neal Z                                       	              2	     0.128
